Center,rank,TenantName_2021,GrossSales_2021,TenantName_2020,GrossSales_2020,TenantName_2019,GrossSales_2019
Savannah,10,American Eagle Outfitters,4178813.79,American Eagle Outfitters,2873668.55,Tommy Hilfiger,3142512.26
Sevierville,1,Nike,17678155.31,Nike,13608318.43,Nike,16486823.15
Sevierville,2,Old Navy,13266028.64,Old Navy,10103230.25,Old Navy,13444460.02
Sevierville,3,Under Armour,12880653.33,Under Armour,9205920.57,Under Armour,11807548.59
Sevierville,4,Vera Bradley,12738825.99,Vera Bradley,9159696.92,Coach,8231209.85
Sevierville,5,Columbia Sportswear,12394607,Columbia Sportswear,8052423.07,Michael Kors,7635624.06
Sevierville,6,Coach,10074033.45,Michael Kors,6328574.36,American Eagle Outfitters,6966650.07
Sevierville,7,Polo Ralph Lauren,7214426.1,Coach,5974578.24,Polo Ralph Lauren,6743681.46
Sevierville,8,Pink by Victoria's Secret,7123703,Bath & Body Works,5885786,Vera Bradley,6590862.31
Sevierville,9,American Eagle Outfitters,7018987.47,Polo Ralph Lauren,5350478.35,North Face,5558787.01
Sevierville,10,Michael Kors,6865952.72,American Eagle Outfitters,5082185.96,Pink by Victoria's Secret,5404288
Tilton,1,Old Navy,4639883.16,Nike,4477659.25,Nike,5257539.82
Tilton,2,Coach,3457558.69,Old Navy,3861847.76,Old Navy,4257978.69
Tilton,3,Famous Footwear,3296443.6,Under Armour,2441610.79,Coach,3876787.55
Tilton,4,Under Armour,3156692.34,American Eagle Outfitters,2330225.46,Famous Footwear,2771964.56
Tilton,5,American Eagle Outfitters,3036016.39,Gap,2132895.02,American Eagle Outfitters,2724976.75
Tilton,6,Five Guys Burgers & Fries,1770090.15,Coach,2106881.4,Under Armour,2408382.66
Tilton,7,Gap,1768467.06,Famous Footwear,2082947.47,Loft,1886433.99
Tilton,8,Polo Ralph Lauren,1683317.09,Bath & Body Works,2053630,Polo Ralph Lauren,1814839.46
Tilton,9,Kay Jewelers,1642501.49,Five Guys Burgers & Fries,1576860.55,Eddie Bauer,1766332.46
Tilton,10,Eddie Bauer,1572946.55,Polo Ralph Lauren,1261552,Bass,1648274.54
Westgate Outlet,1,Nike,15702683.68,Nike,9575486.13,Nike,13858474.73
Westgate Outlet,2,Coach,10194423.22,Michael Kors,6003732.79,Michael Kors,7949027.43
Westgate Outlet,3,Michael Kors,8617944.88,H&M,5659455.12,Coach,7381104.66
Westgate Outlet,4,H&M,8467958.44,Coach,5413171.43,H&M,7203029.75
Westgate Outlet,5,Polo Ralph Lauren,6894502.18,Polo Ralph Lauren,4677738.67,Polo Ralph Lauren,5928284.25
Westgate Outlet,6,Guess?,6473051.65,Under Armour,4153970.46,Lululemon Athletica,5405558.22
Westgate Outlet,7,Levis,5704756.21,Lululemon Athletica,3934700.64,American Eagle Outfitters,5223603.75
Westgate Outlet,8,Under Armour,5459884.88,Guess?,3793992.88,Guess?,4915685.36
Westgate Outlet,9,American Eagle Outfitters,5448897.8,American Eagle Outfitters,3757616.65,Old Navy,4652579.64
Westgate Outlet,10,Old Navy,5437188.88,Finish Line,3629437.19,Under Armour,4557616.19
